id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,lat,long,posting_date
7314351107,chicago,3500,2005.0,acura,mdx,fair,6 cylinders,gas,1.0,clean,automatic,4wd,full-size,SUV,red,42.348459,-87.885401,2021-04-29T11:07:44-0500
7314350790,chicago,28500,2016.0,ford,explorer xlt,excellent,6 cylinders,gas,70000.0,clean,automatic,4wd,full-size,SUV,green,41.558633,-87.792749,2021-04-29T11:07:09-0500
7314349154,chicago,5500,1981.0,mercedes-benz,benz 380sl,good,8 cylinders,gas,182000.0,clean,automatic,fwd,full-size,convertible,blue,41.9703,-87.7042,2021-04-29T11:04:31-0500
7314348087,chicago,19949,2013.0,chevrolet,tahoe lt,excellent,8 cylinders,gas,110501.0,clean,automatic,4wd,full-size,SUV,grey,41.806344,-87.723149,2021-04-29T11:02:45-0500
7314347941,chicago,3800,1997.0,gmc,genesis coupe 3.8 track,fair,5 cylinders,gas,79000.0,clean,automatic,4wd,full-size,offroad,grey,42.134,-87.9341,2021-04-29T11:02:31-0500
7314344825,chicago,2600,2002.0,honda,insight hybrid,fair,3 cylinders,gas,220000.0,clean,automatic,fwd,compact,coupe,white,42.3545,-89.0397,2021-04-29T10:56:57-0500
7314342015,chicago,2100,2004.0,bmw,328i,fair,5 cylinders,gas,145000.0,rebuilt,automatic,4wd,full-size,sedan,grey,41.5804,-87.335,2021-04-29T10:52:01-0500
7314341881,chicago,4999,2006.0,buick,lacrosse cx,fair,6 cylinders,gas,85257.0,clean,automatic,4wd,full-size,sedan,red,42.3542,-87.8651,2021-04-29T10:51:48-0500
7314341085,chicago,2900,2007.0,gmc,acadia,fair,5 cylinders,gas,1.0,clean,automatic,fwd,full-size,wagon,grey,41.622595,-87.633814,2021-04-29T10:50:21-0500
7314340730,chicago,16950,2016.0,honda,cr-v,fair,4 cylinders,gas,51982.0,clean,automatic,fwd,full-size,SUV,black,42.350399,-87.873186,2021-04-29T10:49:46-0500
7314338130,chicago,6499,2007.0,infiniti,g35,excellent,6 cylinders,gas,152966.0,clean,automatic,4wd,full-size,sedan,grey,41.68078,-87.76584,2021-04-29T10:45:26-0500
7314336518,chicago,4996,2004.0,acura,tl,fair,6 cylinders,gas,214971.0,clean,manual,fwd,full-size,sedan,custom,41.988977,-87.871739,2021-04-29T10:42:36-0500
7314335915,chicago,1500,2001.0,bmw,325i sedan,fair,6 cylinders,gas,246500.0,clean,manual,rwd,compact,sedan,red,41.7447,-87.9334,2021-04-29T10:41:34-0500
7314333990,chicago,1700,2010.0,chevrolet,malibu,good,5 cylinders,gas,126000.0,clean,automatic,4wd,full-size,offroad,grey,41.92,-87.754,2021-04-29T10:38:15-0500
7314332218,chicago,5500,2010.0,bmw,528i,fair,5 cylinders,gas,1.0,clean,automatic,4wd,full-size,sedan,grey,41.622595,-87.633814,2021-04-29T10:35:21-0500
7314332116,chicago,9976,2009.0,honda,accord,excellent,5 cylinders,gas,85900.0,clean,automatic,4wd,full-size,offroad,grey,41.5825,-87.805,2021-04-29T10:35:10-0500
7314332024,chicago,25000,1995.0,jaguar,FREIGTLINER,good,5 cylinders,diesel,367.0,clean,manual,4wd,full-size,offroad,grey,41.7842,-87.8689,2021-04-29T10:35:02-0500
7314331590,chicago,4400,2003.0,lexus,es300,fair,6 cylinders,gas,200000.0,clean,automatic,4wd,full-size,offroad,silver,41.706,-87.563,2021-04-29T10:34:22-0500
7314330441,chicago,18949,2011.0,chevrolet,tahoe lt,excellent,8 cylinders,gas,87966.0,clean,automatic,4wd,full-size,SUV,grey,41.806344,-87.723149,2021-04-29T10:32:24-0500
7314327771,chicago,26500,1988.0,chevrolet,silverado,fair,5 cylinders,gas,83000.0,clean,automatic,4wd,full-size,offroad,grey,33.6372,-96.6184,2021-04-29T10:27:46-0500
7314326783,chicago,4977,2010.0,volkswagen,jetta s pzev,fair,5 cylinders,gas,108363.0,clean,automatic,4wd,full-size,sedan,black,41.52423,-88.098659,2021-04-29T10:25:56-0500
7314326194,chicago,6499,2005.0,gmc,envoy,fair,5 cylinders,gas,139197.0,clean,automatic,4wd,full-size,SUV,silver,41.58571,-87.69504,2021-04-29T10:24:55-0500
7314325907,chicago,3750,2004.0,toyota,genesis coupe 3.8 track,fair,5 cylinders,gas,215000.0,clean,automatic,4wd,full-size,offroad,grey,41.4957,-87.3509,2021-04-29T10:24:26-0500
7314325876,chicago,23500,1968.0,ford,mustang,like new,8 cylinders,gas,70000.0,clean,automatic,rwd,compact,offroad,blue,41.6948,-87.7038,2021-04-29T10:24:22-0500
7314325827,chicago,55000,1999.0,jaguar,9900i,excellent,6 cylinders,diesel,850000.0,clean,manual,4wd,full-size,truck,white,41.4467,-86.1932,2021-04-29T10:24:16-0500
7314324948,chicago,25995,2010.0,bmw,m6,excellent,10 cylinders,gas,78000.0,clean,other,rwd,full-size,coupe,black,41.4191,-87.7748,2021-04-29T10:22:47-0500
7314324717,chicago,2400,2007.0,ford,focus zx4,fair,4 cylinders,gas,164000.0,clean,automatic,4wd,full-size,offroad,grey,41.706,-87.563,2021-04-29T10:22:20-0500
